year,month,day,tourist_arrivals
2023,1,1,2246
2023,1,2,3633
2023,1,3,2982
2023,1,4,2694
2023,1,5,3512
2023,1,6,3035
2023,1,7,2773
2023,1,8,2912
2023,1,9,3806
2023,1,10,3239
2023,1,11,2702
2023,1,12,4378
2023,1,13,3321
2023,1,14,2937
2023,1,15,3183
2023,1,16,4009
2023,1,17,3253
2023,1,18,3746
2023,1,19,3973
2023,1,20,3506
2023,1,21,3126
2023,1,22,3036
2023,1,23,3995
2023,1,24,3146
2023,1,25,2973
2023,1,26,3879
2023,1,27,3451
2023,1,28,2880
2023,1,29,3130
2023,1,30,3915
2023,1,31,3174
2023,2,1,3121
2023,2,2,3940
2023,2,3,4073
2023,2,4,3313
2023,2,5,3594
2023,2,6,4638
2023,2,7,3827
2023,2,8,3688
2023,2,9,4591
2023,2,10,4722
2023,2,11,3684
2023,2,12,3546
2023,2,13,4510
2023,2,14,3438
2023,2,15,3359
2023,2,16,4377
2023,2,17,4334
2023,2,18,3407
2023,2,19,3559
2023,2,20,4619
2023,2,21,3231
2023,2,22,3542
2023,2,23,4630
2023,2,24,3988
2023,2,25,3732
2023,2,26,3073
2023,2,27,4041
2023,2,28,3062
2023,3,1,4035
2023,3,2,4015
2023,3,3,4806
2023,3,4,3687
2023,3,5,3347
2023,3,6,4473
2023,3,7,3210
2023,3,8,3513
2023,3,9,3956
2023,3,10,4338
2023,3,11,5846
2023,3,12,3203
2023,3,13,5409
2023,3,14,3199
2023,3,15,3845
2023,3,16,4404
2023,3,17,3764
2023,3,18,3575
2023,3,19,3620
2023,3,20,5081
2023,3,21,3257
2023,3,22,3703
2023,3,23,3780
2023,3,24,4713
2023,3,25,4564
2023,3,26,4369
2023,3,27,4353
2023,3,28,2925
2023,3,29,3627
2023,3,30,4274
2023,3,31,4604
2023,4,1,4238
2023,4,2,3695
2023,4,3,4548
2023,4,4,3260
2023,4,5,3211
2023,4,6,4071
2023,4,7,3888
2023,4,8,3158
2023,4,9,2425
2023,4,10,3550
2023,4,11,2271
2023,4,12,4542
2023,4,13,4609
2023,4,14,3807
2023,4,15,2888
2023,4,16,2240
2023,4,17,3344
2023,4,18,2634
2023,4,19,3545
2023,4,20,3874
2023,4,21,3981
2023,4,22,3545
2023,4,23,3025
2023,4,24,3742
2023,4,25,3227
2023,4,26,2796
2023,4,27,3052
2023,4,28,5268
2023,4,29,3320
2023,4,30,3744
2023,5,1,3483
2023,5,2,2513
2023,5,3,2062
2023,5,4,2305
2023,5,5,3436
2023,5,6,2491
2023,5,7,2111
2023,5,8,3001
2023,5,9,3251
2023,5,10,1916
2023,5,11,2262
2023,5,12,2789
2023,5,13,2340
2023,5,14,2140
2023,5,15,2867
2023,5,16,2374
2023,5,17,2068
2023,5,18,3088
2023,5,19,5563
2023,5,20,2793
2023,5,21,2277
2023,5,22,2970
2023,5,23,2366
2023,5,24,2057
2023,5,25,2668
2023,5,26,3458
2023,5,27,2789
2023,5,28,2319
2023,5,29,2908
2023,5,30,2624
2023,5,31,2020
2023,6,1,2752
2023,6,2,3256
2023,6,3,2662
2023,6,4,2282
2023,6,5,3259
2023,6,6,2348
2023,6,7,3097
2023,6,8,2544
2023,6,9,3512
2023,6,10,3079
2023,6,11,3118
2023,6,12,3017
2023,6,13,2452
2023,6,14,2819
2023,6,15,2785
2023,6,16,3866
2023,6,17,3085
2023,6,18,2731
2023,6,19,3617
2023,6,20,4902
2023,6,21,3360
2023,6,22,3503
2023,6,23,4231
2023,6,24,4277
2023,6,25,3346
2023,6,26,4103
2023,6,27,3907
2023,6,28,4169
2023,6,29,4054
2023,6,30,4255
2023,7,1,4408
2023,7,2,3480
2023,7,3,4474
2023,7,4,3965
2023,7,5,3470
2023,7,6,4104
2023,7,7,4810
2023,7,8,4389
2023,7,9,4124
2023,7,10,5049
2023,7,11,4362
2023,7,12,4296
2023,7,13,4635
2023,7,14,5047
2023,7,15,4999
2023,7,16,4422
2023,7,17,5193
2023,7,18,4853
2023,7,19,4372
2023,7,20,5272
2023,7,21,5483
2023,7,22,5155
2023,7,23,4302
2023,7,24,5313
2023,7,25,4604
2023,7,26,4312
2023,7,27,4610
2023,7,28,5421
2023,7,29,4780
2023,7,30,4320
2023,7,31,5015
2023,8,1,4765
2023,8,2,4428
2023,8,3,5415
2023,8,4,5907
2023,8,5,5206
2023,8,6,4586
2023,8,7,5468
2023,8,8,5025
2023,8,9,5309
2023,8,10,5485
2023,8,11,5927
2023,8,12,6018
2023,8,13,4804
2023,8,14,5322
2023,8,15,3888
2023,8,16,4865
2023,8,17,4341
2023,8,18,4861
2023,8,19,3838
2023,8,20,3373
2023,8,21,4181
2023,8,22,3162
2023,8,23,3780
2023,8,24,3449
2023,8,25,4082
2023,8,26,3174
2023,8,27,2626
2023,8,28,3303
2023,8,29,2562
2023,8,30,3645
2023,8,31,3610
2023,9,1,4862
2023,9,2,3573
2023,9,3,3299
2023,9,4,3995
2023,9,5,3288
2023,9,6,3876
2023,9,7,3866
2023,9,8,4283
2023,9,9,4040
2023,9,10,3628
2023,9,11,4399
2023,9,12,3196
2023,9,13,4304
2023,9,14,3270
2023,9,15,4404
2023,9,16,3857
2023,9,17,3545
2023,9,18,3708
2023,9,19,3181
2023,9,20,2645
2023,9,21,3188
2023,9,22,3791
2023,9,23,3727
2023,9,24,2957
2023,9,25,3615
2023,9,26,3269
2023,9,27,2889
2023,9,28,4110
2023,9,29,5201
2023,9,30,3972
2023,10,1,3497
2023,10,2,3711
2023,10,3,3151
2023,10,4,2675
2023,10,5,3376
2023,10,6,3695
2023,10,7,2968
2023,10,8,3199
2023,10,9,3451
2023,10,10,3030
2023,10,11,2209
2023,10,12,3305
2023,10,13,4286
2023,10,14,3954
2023,10,15,3888
2023,10,16,4079
2023,10,17,3095
2023,10,18,2812
2023,10,19,3936
2023,10,20,5101
2023,10,21,4433
2023,10,22,3912
2023,10,23,3787
2023,10,24,3340
2023,10,25,3036
2023,10,26,3823
2023,10,27,4257
2023,10,28,3391
2023,10,29,3026
2023,10,30,3207
2023,10,31,3569
2023,11,1,4564
2023,11,2,4292
2023,11,3,4465
2023,11,4,4408
2023,11,5,4473
2023,11,6,4300
2023,11,7,3892
2023,11,8,4163
2023,11,9,6496
2023,11,10,4361
2023,11,11,5086
2023,11,12,4995
2023,11,13,7520
2023,11,14,6390
2023,11,15,5259
2023,11,16,5304
2023,11,17,5129
2023,11,18,5748
2023,11,19,5484
2023,11,20,7065
2023,11,21,4578
2023,11,22,4939
2023,11,23,4687
2023,11,24,5064
2023,11,25,5128
2023,11,26,4941
2023,11,27,4972
2023,11,28,3795
2023,11,29,5316
2023,11,30,4682
2023,12,1,4972
2023,12,2,5521
2023,12,3,5048
2023,12,4,5235
2023,12,5,5851
2023,12,6,5311
2023,12,7,6108
2023,12,8,5132
2023,12,9,5520
2023,12,10,8696
2023,12,11,5494
2023,12,12,4648
2023,12,13,6054
2023,12,14,7329
2023,12,15,6504
2023,12,16,6695
2023,12,17,7132
2023,12,18,6703
2023,12,19,5809
2023,12,20,6899
2023,12,21,7386
2023,12,22,8437
2023,12,23,9864
2023,12,24,8423
2023,12,25,9141
2023,12,26,7962
2023,12,27,9336
2023,12,28,8395
2023,12,29,7478
2023,12,30,7409
2023,12,31,5860
2024,1,1,5912
2024,1,2,6204
2024,1,3,7251
2024,1,4,6253
2024,1,5,6833
2024,1,6,6834
2024,1,7,6016
2024,1,8,6521
2024,1,9,6019
2024,1,10,7027
2024,1,11,6537
2024,1,12,6982
2024,1,13,7771
2024,1,14,6661
2024,1,15,8541
2024,1,16,6262
2024,1,17,7318
2024,1,18,6504
2024,1,19,6505
2024,1,20,7336
2024,1,21,6875
2024,1,22,7009
2024,1,23,5682
2024,1,24,7218
2024,1,25,7032
2024,1,26,7466
2024,1,27,6880
2024,1,28,6125
2024,1,29,6815
2024,1,30,5298
2024,1,31,6566
2024,2,1,6862
2024,2,2,6765
2024,2,3,7785
2024,2,4,7081
2024,2,5,8282
2024,2,6,7007
2024,2,7,8579
2024,2,8,7761
2024,2,9,7716
2024,2,10,8515
2024,2,11,7858
2024,2,12,7398
2024,2,13,6846
2024,2,14,9443
2024,2,15,7432
2024,2,16,7460
2024,2,17,8083
2024,2,18,7862
2024,2,19,7587
2024,2,20,6553
2024,2,21,7289
2024,2,22,6866
2024,2,23,7230
2024,2,24,10014
2024,2,25,6744
2024,2,26,7253
2024,2,27,6213
2024,2,28,6958
2024,2,29,6908
2024,3,1,6878
2024,3,2,8085
2024,3,3,6704
2024,3,4,7124
2024,3,5,5832
2024,3,6,6254
2024,3,7,6344
2024,3,8,6721
2024,3,9,6780
2024,3,10,6393
2024,3,11,6348
2024,3,12,5680
2024,3,13,6141
2024,3,14,5920
2024,3,15,6145
2024,3,16,7068
2024,3,17,6866
2024,3,18,7873
2024,3,19,5697
2024,3,20,6831
2024,3,21,7492
2024,3,22,7268
2024,3,23,8534
2024,3,24,8073
2024,3,25,6782
2024,3,26,5834
2024,3,27,6205
2024,3,28,7621
2024,3,29,6150
2024,3,30,8129
2024,3,31,5409
2024,4,1,5363
2024,4,2,4761
2024,4,3,5551
2024,4,4,5618
2024,4,5,6174
2024,4,6,7157
2024,4,7,5173
2024,4,8,5347
2024,4,9,5394
2024,4,10,5281
2024,4,11,6582
2024,4,12,5200
2024,4,13,5256
2024,4,14,3411
2024,4,15,6263
2024,4,16,4563
2024,4,17,3658
2024,4,18,3230
2024,4,19,4418
2024,4,20,4987
2024,4,21,4279
2024,4,22,4495
2024,4,23,3977
2024,4,24,4166
2024,4,25,4390
2024,4,26,4899
2024,4,27,5372
2024,4,28,4091
2024,4,29,5757
2024,4,30,4054
2024,5,1,5119
2024,5,2,4348
2024,5,3,4090
2024,5,4,4105
2024,5,5,4382
2024,5,6,3646
2024,5,7,2836
2024,5,8,3106
2024,5,9,3583
2024,5,10,3980
2024,5,11,3648
2024,5,12,3199
2024,5,13,3125
2024,5,14,3072
2024,5,15,5781
2024,5,16,3699
2024,5,17,4005
2024,5,18,3997
2024,5,19,3191
2024,5,20,3434
2024,5,21,3085
2024,5,22,2750
2024,5,23,3554
2024,5,24,4180
2024,5,25,3842
2024,5,26,3133
2024,5,27,3140
2024,5,28,2639
2024,5,29,2739
2024,5,30,3257
2024,5,31,3463
2024,6,1,3374
2024,6,2,3312
2024,6,3,3199
2024,6,4,3035
2024,6,5,2746
2024,6,6,3376
2024,6,7,3713
2024,6,8,3495
2024,6,9,3035
