date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,tourist_arrivals,usd_lkr_rate,arrivals_lag1,arrivals_lag7,arrivals_rolling7,month,day_of_week
2023-01-01,0.0,24.43,28.03,21.25,2246,363.97,,,,1,6
2023-01-02,0.0,24.39,28.06,21.24,3633,364.11,2246.0,,,1,0
2023-01-03,0.01,24.44,28.06,21.11,2982,363.98,3633.0,,,1,1
2023-01-04,0.1,24.7,28.27,21.68,2694,363.76,2982.0,,,1,2
2023-01-05,0.69,25.26,28.87,22.08,3512,363.69,2694.0,,,1,3
2023-01-06,5.38,25.35,27.86,23.41,3035,363.69,3512.0,,,1,4
2023-01-07,11.17,25.41,28.1,23.44,2773,363.69,3035.0,,,1,5
2023-01-08,3.37,25.33,28.83,22.94,2912,363.69,2773.0,2246.0,2982.1428571428573,1,6
2023-01-09,0.36,25.08,28.82,22.28,3806,363.87,2912.0,3633.0,3077.285714285714,1,0
2023-01-10,0.01,24.34,28.06,21.29,3239,363.45,3806.0,2982.0,3102.0,1,1
2023-01-11,0.0,23.43,27.67,19.61,2702,363.29,3239.0,2694.0,3138.714285714286,1,2
2023-01-12,0.0,23.29,27.49,19.68,4378,363.19,2702.0,3512.0,3139.8571428571427,1,3
2023-01-13,0.0,24.05,28.7,19.7,3321,363.18,4378.0,3035.0,3263.5714285714284,1,4
2023-01-14,0.18,24.62,28.1,21.74,2937,363.18,3321.0,2773.0,3304.4285714285716,1,5
2023-01-15,2.5,25.21,28.39,22.36,3183,363.18,2937.0,2912.0,3327.8571428571427,1,6
2023-01-16,19.56,25.64,28.97,23.35,4009,363.22,3183.0,3806.0,3366.5714285714284,1,0
2023-01-17,6.57,25.75,28.94,23.01,3253,363.69,4009.0,3239.0,3395.5714285714284,1,1
2023-01-18,0.24,24.77,28.31,21.67,3746,363.03,3253.0,2702.0,3397.5714285714284,1,2
2023-01-19,0.0,23.65,27.69,20.85,3973,363.92,3746.0,4378.0,3546.714285714286,1,3
2023-01-20,0.04,23.74,28.23,19.65,3506,364.06,3973.0,3321.0,3488.8571428571427,1,4
2023-01-21,0.41,24.21,27.67,21.35,3126,364.06,3506.0,2937.0,3515.285714285714,1,5
2023-01-22,2.78,24.6,27.88,22.47,3036,364.06,3126.0,3183.0,3542.285714285714,1,6
2023-01-23,3.39,25.23,27.73,23.15,3995,362.51,3036.0,4009.0,3521.285714285714,1,0
2023-01-24,19.24,25.5,28.46,23.04,3146,363.51,3995.0,3253.0,3519.285714285714,1,1
2023-01-25,3.49,25.31,28.96,22.28,2973,363.9,3146.0,3746.0,3504.0,1,2
2023-01-26,2.6,25.25,28.48,22.65,3879,363.73,2973.0,3973.0,3393.5714285714284,1,3
2023-01-27,1.53,25.0,27.85,22.39,3451,363.75,3879.0,3506.0,3380.1428571428573,1,4
2023-01-28,0.26,24.6,28.08,21.9,2880,363.75,3451.0,3126.0,3372.285714285714,1,5
2023-01-29,0.05,24.75,28.86,21.01,3130,363.75,2880.0,3036.0,3337.1428571428573,1,6
2023-01-30,3.04,24.67,27.72,22.15,3915,363.97,3130.0,3995.0,3350.5714285714284,1,0
2023-01-31,3.48,24.42,25.94,23.31,3174,364.15,3915.0,3146.0,3339.1428571428573,1,1
2023-02-01,3.87,24.88,26.37,23.44,3121,363.73,3174.0,2973.0,3343.1428571428573,2,2
2023-02-02,9.86,25.72,28.4,23.79,3940,363.05,3121.0,3879.0,3364.285714285714,2,3
2023-02-03,11.89,25.77,29.02,23.65,4073,362.91,3940.0,3451.0,3373.0,2,4
2023-02-04,6.11,25.72,28.77,23.44,3313,362.91,4073.0,2880.0,3461.8571428571427,2,5
2023-02-05,1.04,25.82,29.17,23.41,3594,362.91,3313.0,3130.0,3523.714285714286,2,6
2023-02-06,1.89,25.16,27.9,23.07,4638,363.54,3594.0,3915.0,3590.0,2,0
2023-02-07,1.79,25.83,29.26,23.49,3827,362.76,4638.0,3174.0,3693.285714285714,2,1
2023-02-08,0.33,25.92,29.9,22.63,3688,362.96,3827.0,3121.0,3786.5714285714284,2,2
2023-02-09,0.71,25.86,29.86,22.27,4591,363.12,3688.0,3940.0,3867.5714285714284,2,3
2023-02-10,1.01,25.27,28.81,22.44,4722,363.73,4591.0,4073.0,3960.5714285714284,2,4
2023-02-11,1.18,24.57,28.32,21.44,3684,363.73,4722.0,3313.0,4053.285714285714,2,5
2023-02-12,3.19,25.06,29.36,21.05,3546,363.73,3684.0,3594.0,4106.285714285715,2,6
2023-02-13,0.22,24.98,29.65,20.86,4510,362.86,3546.0,4638.0,4099.428571428572,2,0
2023-02-14,0.39,24.84,29.49,21.02,3438,362.59,4510.0,3827.0,4081.1428571428573,2,1
2023-02-15,0.02,23.95,28.96,20.0,3359,362.59,3438.0,3688.0,4025.5714285714284,2,2
2023-02-16,0.0,23.9,29.18,19.25,4377,362.87,3359.0,4591.0,3978.5714285714284,2,3
2023-02-17,0.0,24.69,29.55,20.04,4334,363.48,4377.0,4722.0,3948.0,2,4
2023-02-18,1.67,25.98,30.1,22.24,3407,363.48,4334.0,3684.0,3892.5714285714284,2,5
2023-02-19,16.23,26.1,29.63,23.51,3559,363.48,3407.0,3546.0,3853.0,2,6
2023-02-20,15.78,26.05,29.54,23.38,4619,363.63,3559.0,4510.0,3854.8571428571427,2,0
2023-02-21,1.4,25.71,29.36,23.13,3231,361.95,4619.0,3438.0,3870.4285714285716,2,1
2023-02-22,0.08,25.64,29.92,21.51,3542,362.53,3231.0,3359.0,3840.8571428571427,2,2
2023-02-23,0.16,25.92,30.03,22.32,4630,363.17,3542.0,4377.0,3867.0,2,3
2023-02-24,5.74,26.12,30.19,21.89,3988,362.36,4630.0,4334.0,3903.1428571428573,2,4
