date,base,quote,rate
2022-12-30,USD,LKR,363.97
2023-01-02,USD,LKR,364.11
2023-01-03,USD,LKR,363.98
2023-01-04,USD,LKR,363.76
2023-01-05,USD,LKR,363.69
2023-01-06,USD,LKR,363.69
2023-01-09,USD,LKR,363.87
2023-01-10,USD,LKR,363.45
2023-01-11,USD,LKR,363.29
2023-01-12,USD,LKR,363.19
2023-01-13,USD,LKR,363.18
2023-01-16,USD,LKR,363.22
2023-01-17,USD,LKR,363.69
2023-01-18,USD,LKR,363.03
2023-01-19,USD,LKR,363.92
2023-01-20,USD,LKR,364.06
2023-01-23,USD,LKR,362.51
2023-01-24,USD,LKR,363.51
2023-01-25,USD,LKR,363.9
2023-01-26,USD,LKR,363.73
2023-01-27,USD,LKR,363.75
2023-01-30,USD,LKR,363.97
2023-01-31,USD,LKR,364.15
2023-02-01,USD,LKR,363.73
2023-02-02,USD,LKR,363.05
2023-02-03,USD,LKR,362.91
2023-02-06,USD,LKR,363.54
2023-02-07,USD,LKR,362.76
2023-02-08,USD,LKR,362.96
2023-02-09,USD,LKR,363.12
2023-02-10,USD,LKR,363.73
2023-02-13,USD,LKR,362.86
2023-02-14,USD,LKR,362.59
2023-02-15,USD,LKR,362.59
2023-02-16,USD,LKR,362.87
2023-02-17,USD,LKR,363.48
2023-02-20,USD,LKR,363.63
2023-02-21,USD,LKR,361.95
2023-02-22,USD,LKR,362.53
2023-02-23,USD,LKR,363.17
2023-02-24,USD,LKR,362.36
2023-02-27,USD,LKR,361.66
2023-02-28,USD,LKR,359.98
2023-03-01,USD,LKR,356.4
2023-03-02,USD,LKR,352.48
2023-03-03,USD,LKR,346.46
2023-03-06,USD,LKR,340.32
2023-03-07,USD,LKR,331.86
2023-03-08,USD,LKR,323.82
2023-03-09,USD,LKR,321.21
2023-03-10,USD,LKR,319.34
2023-03-13,USD,LKR,321.97
2023-03-14,USD,LKR,325.81
2023-03-15,USD,LKR,334.9
2023-03-16,USD,LKR,337.14
2023-03-17,USD,LKR,337.71
2023-03-20,USD,LKR,337.35
2023-03-21,USD,LKR,328.56
2023-03-22,USD,LKR,319.5
2023-03-23,USD,LKR,318.52
2023-03-24,USD,LKR,320.48
2023-03-27,USD,LKR,321.82
2023-03-28,USD,LKR,322.44
2023-03-29,USD,LKR,324.76
2023-03-30,USD,LKR,325.82
2023-03-31,USD,LKR,325.88
2023-04-03,USD,LKR,324.95
2023-04-04,USD,LKR,323.0
2023-04-05,USD,LKR,322.21
2023-04-06,USD,LKR,321.91
2023-04-07,USD,LKR,321.42
2023-04-10,USD,LKR,320.16
2023-04-11,USD,LKR,320.71
2023-04-12,USD,LKR,320.55
2023-04-13,USD,LKR,320.15
2023-04-14,USD,LKR,319.95
2023-04-17,USD,LKR,320.49
2023-04-18,USD,LKR,319.84
2023-04-19,USD,LKR,320.71
2023-04-20,USD,LKR,320.82
2023-04-21,USD,LKR,320.38
2023-04-24,USD,LKR,319.24
2023-04-25,USD,LKR,320.11
2023-04-26,USD,LKR,319.95
2023-04-27,USD,LKR,320.16
2023-04-28,USD,LKR,320.93
2023-05-01,USD,LKR,320.89
2023-05-02,USD,LKR,320.14
2023-05-03,USD,LKR,319.57
2023-05-04,USD,LKR,318.78
2023-05-05,USD,LKR,318.93
2023-05-08,USD,LKR,317.91
2023-05-09,USD,LKR,317.32
2023-05-10,USD,LKR,316.36
2023-05-11,USD,LKR,314.18
2023-05-12,USD,LKR,313.54
2023-05-15,USD,LKR,312.91
2023-05-16,USD,LKR,311.17
2023-05-17,USD,LKR,308.01
2023-05-18,USD,LKR,307.5
2023-05-19,USD,LKR,307.6
2023-05-22,USD,LKR,307.39
2023-05-23,USD,LKR,306.46
2023-05-24,USD,LKR,304.69
2023-05-25,USD,LKR,304.52
2023-05-26,USD,LKR,302.59
2023-05-29,USD,LKR,297.61
2023-05-30,USD,LKR,296.08
2023-05-31,USD,LKR,292.81
2023-06-01,USD,LKR,292.21
2023-06-02,USD,LKR,290.63
2023-06-05,USD,LKR,291.86
2023-06-06,USD,LKR,292.11
2023-06-07,USD,LKR,291.58
2023-06-08,USD,LKR,292.54
2023-06-09,USD,LKR,293.43
2023-06-12,USD,LKR,296.66
2023-06-13,USD,LKR,301.45
2023-06-14,USD,LKR,307.82
2023-06-15,USD,LKR,309.52
2023-06-16,USD,LKR,306.85
2023-06-19,USD,LKR,307.08
2023-06-20,USD,LKR,306.82
2023-06-21,USD,LKR,307.21
2023-06-22,USD,LKR,306.92
2023-06-23,USD,LKR,307.99
2023-06-26,USD,LKR,308.18
2023-06-27,USD,LKR,308.87
2023-06-28,USD,LKR,308.62
2023-06-29,USD,LKR,308.53
2023-06-30,USD,LKR,308.84
2023-07-03,USD,LKR,307.69
2023-07-04,USD,LKR,306.94
2023-07-05,USD,LKR,306.6
2023-07-06,USD,LKR,307.77
2023-07-07,USD,LKR,309.08
2023-07-10,USD,LKR,310.23
2023-07-11,USD,LKR,311.45
2023-07-12,USD,LKR,313.01
2023-07-13,USD,LKR,313.35
2023-07-14,USD,LKR,314.45
2023-07-17,USD,LKR,316.47
2023-07-18,USD,LKR,317.55
2023-07-19,USD,LKR,319.07
2023-07-20,USD,LKR,319.89
2023-07-21,USD,LKR,324.39
2023-07-24,USD,LKR,325.3
2023-07-25,USD,LKR,326.14
2023-07-26,USD,LKR,326.6
2023-07-27,USD,LKR,325.99
2023-07-28,USD,LKR,328.18
2023-07-31,USD,LKR,325.65
2023-08-01,USD,LKR,321.07
2023-08-02,USD,LKR,315.87
2023-08-03,USD,LKR,314.53
2023-08-04,USD,LKR,316.67
